,,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximum Independent Set,Longest Maximum Independent Set,Longest Maximum Independent Set,Number of Maximum Cliques,Number of Maximum Cliques,Number of Maximum Cliques,Longest Maximum Clique,Longest Maximum Clique,Longest Maximum Clique
,,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Number of Nodes Per Graph,Number of Graphs,,,,,,,,,,,,,,,,,,
5,20,0.5466005698590051,0.5369890201253393,0.10927921879564713,0.5631551615776266,0.5751239768004432,0.06506240686428552,0.0994667026295535,0.08854914703157897,0.07757340402646623,3.6,4.0,0.8825799501580878,57.0,60.0,11.742858972247996,2.55,3.0,0.5104177855340405
10,20,0.6148736552825935,0.6194624401525911,0.088405216001464,0.5589027604472114,0.5651750474099491,0.03853125721484804,0.1145939629872162,0.10600463426912263,0.06617470811389095,6.35,6.0,1.1367080817685316,508.5,540.0,44.04244364366336,2.7,3.0,0.47016234598162726
15,20,0.6847971652717062,0.6728441467718049,0.06167961642596408,0.5161873372307466,0.5176536510554586,0.04430358040601267,0.11025198375148566,0.11717912379501629,0.039526956937657766,9.7,9.0,1.3416407864998738,1858.5,1890.0,195.99342094221322,2.75,3.0,0.5501196042201808
20,20,0.6774579906065057,0.6686594187079555,0.05617436194326257,0.5376396099791101,0.5487892724474055,0.058027701088214804,0.1171149924118754,0.10432611924220933,0.04927773853815307,13.15,13.0,1.4964871146156007,4541.0,4560.0,399.02380881345914,2.6,3.0,0.5026246899500346
25,20,0.719253814576979,0.7262577856682313,0.06060170925540187,0.5026405162979534,0.5020115018101851,0.05589417467475784,0.10941809971149397,0.11668207548782858,0.038941396481991415,15.8,16.0,1.7947291248483563,8850.0,9000.0,579.9274001749566,2.75,3.0,0.4442616583193193
30,20,0.7253457134892928,0.7177761595036195,0.060081804311320056,0.5203984767963236,0.5261414063811053,0.052405727832193216,0.13089297199611669,0.11401959283714302,0.06671719861624488,19.15,19.0,1.7851728502481652,15268.5,14790.0,913.554509651867,2.6,3.0,0.5026246899500346
35,20,0.7381441041092854,0.726373655053874,0.06339504169886111,0.5248030566800099,0.5242240934144784,0.06307510249295557,0.13543011079789144,0.11669393790214899,0.06799090120019402,21.9,22.0,1.6189665319514628,24633.0,24990.0,1397.4002176975116,2.7,3.0,0.47016234598162726
40,20,0.7152332439346287,0.7061862694927231,0.03857434243432691,0.4744297784184509,0.4676231353777954,0.04733162555749324,0.08937967246599747,0.08163157020241227,0.03741215873382817,25.1,25.0,1.5183093090324964,37518.0,37440.0,2233.580085871111,2.7,3.0,0.47016234598162726
45,20,0.7270162977526942,0.7298404951255794,0.03560487256232657,0.48734259305578825,0.4883483816147699,0.05674009955086951,0.10383738486780855,0.09650361982358466,0.04557644079000582,28.85,29.0,2.1588252165910684,52965.0,53460.0,2638.9142504167567,2.85,3.0,0.4893604849295929
50,20,0.7360058462432475,0.7280838862050274,0.03236553319588749,0.5019735558588276,0.4975046210169109,0.05735585961738115,0.12184459411363971,0.11015824295205849,0.054057036079705294,31.35,31.0,1.8431951662948316,73745.0,74725.0,3803.838089420515,2.8,3.0,0.41039134083406165
55,20,0.7277666874587027,0.7247397157533773,0.04226303534641815,0.48786279103168806,0.48859244594603024,0.05970588780160493,0.10799104160337851,0.10272864558111412,0.03491399977940812,35.45,35.5,1.932410548076104,98752.5,99495.0,4995.38405351433,2.75,3.0,0.4442616583193193
60,20,0.7556225650564169,0.75822797747729,0.033224830583665176,0.49257978287809473,0.49363187682442633,0.04601679419121198,0.12188168233574795,0.11510354107265373,0.029065008689218012,37.3,37.5,1.8666040089734592,126909.0,127440.0,5540.976448244479,2.7,3.0,0.47016234598162726
