,,,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Immediate Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Edit-Distance Full Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Jaccard Index Similarity,Longest Maximal Independent Set,Longest Maximal Independent Set,Longest Maximal Independent Set,Number of Maximal Cliques,Number of Maximal Cliques,Number of Maximal Cliques,Longest Maximal Clique,Longest Maximal Clique,Longest Maximal Clique
,,,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std,mean,50%,std
Nodes To Edges Factor,Number of Edges Per Graph,Number of Graphs,,,,,,,,,,,,,,,,,,
1.0,5,2,0.5564072681527992,0.5564072681527992,0.12532818403355486,0.5564072681527992,0.5564072681527992,0.12532818403355486,0.01902895479498754,0.01902895479498754,0.02345057236526765,3.5,3.5,0.7071067811865476,60.0,60.0,0.0,2.0,2.0,0.0
1.5,7,2,0.41061618328871097,0.41061618328871097,0.015013550387533587,0.5881874323520523,0.5881874323520523,0.016631018866931697,0.0725559343318011,0.0725559343318011,0.05705065626884169,3.0,3.0,0.0,60.0,60.0,0.0,2.0,2.0,0.0
2.0,10,2,0.4703266151636246,0.4703266151636246,0.012148286241804376,0.5623967447710259,0.5623967447710259,0.058656691293223887,0.10392506449586517,0.10392506449586517,0.03496001860282038,3.0,3.0,0.0,50.0,50.0,14.142135623730951,3.0,3.0,0.0
2.5,12,2,0.49585976068191173,0.49585976068191173,0.11864329109634497,0.5701427456775183,0.5701427456775183,0.10552582365702762,0.18086162122106153,0.18086162122106153,0.03630363547545182,3.0,3.0,0.0,50.0,50.0,14.142135623730951,2.5,2.5,0.7071067811865476
3.0,15,2,0.3787525928994776,0.3787525928994776,0.1551135354885814,0.5938655898676324,0.5938655898676324,0.00732312010517383,0.20800184907810626,0.20800184907810626,0.08570614699927216,3.0,3.0,0.0,60.0,60.0,0.0,3.0,3.0,0.0
3.5,17,2,0.33942344545396164,0.33942344545396164,0.09721266961980568,0.5188180347386018,0.5188180347386018,0.07732286680036732,0.1710714026254465,0.1710714026254465,0.009273944840412404,3.5,3.5,0.7071067811865476,60.0,60.0,0.0,2.0,2.0,0.0
4.0,20,2,0.3645391490320321,0.3645391490320321,0.15780149900574916,0.559013511486834,0.559013511486834,0.04901474146145848,0.035421821863920136,0.035421821863920136,0.003733822620619269,3.0,3.0,1.4142135623730951,50.0,50.0,14.142135623730951,2.5,2.5,0.7071067811865476
4.5,22,2,0.3792255666596951,0.3792255666596951,0.09108927519070797,0.5880307053151765,0.5880307053151765,0.02907311972931198,0.15078785892559485,0.15078785892559485,0.07789277185281006,3.0,3.0,0.0,50.0,50.0,14.142135623730951,3.5,3.5,0.7071067811865476
